Ensembl_id	log2FoldChange	
ENSG00000105122	2.093451756	
ENSG00000130635	1.777760738	
ENSG00000213171	-2.176525001	
ENSG00000091513	3.375404457	
ENSG00000042980	2.244124514	
ENSG00000275720	-1.843207839	
ENSG00000156738	2.970178151	
ENSG00000105374	2.307758506	
ENSG00000164220	4.538041744	
ENSG00000113296	2.108045149	
ENSG00000206190	2.165554998	
ENSG00000154654	1.733141912	
ENSG00000106565	2.029498983	
ENSG00000234112	-2.39927708	
ENSG00000143797	1.632821442	
ENSG00000215018	-1.980697951	
ENSG00000242534	4.919999714	
ENSG00000102879	2.144863141	
ENSG00000089199	-3.842874353	
ENSG00000119927	2.964999544	
ENSG00000211895	3.894051619	
ENSG00000078900	2.582911355	
ENSG00000142494	-1.864308286	
ENSG00000167123	1.507497419	
ENSG00000163823	2.388594654	
ENSG00000240764	-1.502096385	
ENSG00000139211	2.171298444	
ENSG00000166501	2.095041555	
ENSG00000204262	1.778689145	
ENSG00000007264	2.416892707	
